Link,Date/Time,Content,ok_to_upload
https://x.com/rockoder/status/1404007281310650383,2021-06-13T09:26:35.000Z,I have not been bored since the first time I wrote code.,y
https://x.com/rockoder/status/1922624030089113978,2025-05-14T12:04:24.000Z,We need an emoji to mark posts as 'fake',y
https://x.com/SpokespersonMoD/status/1921140234214887815,2025-05-10T09:48:19.000Z,"In these sensitive times, a lot of misinformation and fake news is being spread on #WhatsApp. Be cautious and follow our WhatsApp Channel for all authentic information related to Ministry of Defence. 

Tap on the link given below and follow now!


https://
whatsapp.com/channel/0029Va
EHkn3JkK7BfWTsm23W
…",""
https://x.com/rockoder/status/1917303530227978257,2025-04-29T19:42:38.000Z,Discipline is also a talent!,y
https://x.com/jposhaughnessy/status/1913895419337130314,2025-04-20T10:00:01.000Z,"Two thoughts from Mario Vargas Llosa

“Writers are the exorcists of their own demons.”

“Reading is a protest against the insufficiencies of life.”",
https://x.com/rockoder/status/1744835068755861660,2024-01-09T21:34:32.000Z,“No” is no to one thing. “Yes” is no to a lot of things.,y
https://x.com/rockoder/status/1743567675203195339,2024-01-06T09:38:22.000Z,You cannot deploy Jira ticket in production.,y
https://x.com/rockoder/status/1720361536206581944,2023-11-03T08:45:27.000Z,"It feels intellectually and emotionally lazy to just pick a side. 
@harari_yuval",n
https://x.com/rockoder/status/1669811661522321408,2023-06-16T20:58:18.000Z,The past can be changed. The essence of it anyway.,y
https://x.com/rockoder/status/1668564979618914304,2023-06-13T10:24:26.000Z,Previous decisions were made by previous you.,y
https://x.com/shaneparrish/status/1650841780969930753,2023-04-25T12:38:46.000Z,"No matter what you think your priorities are, how you spend your time tells the real story.",
https://x.com/rockoder/status/1630997321616969728,2023-03-01T18:23:58.000Z,Just because you learned how to pronounce Kubernetes does not mean you have to use it.,y
https://x.com/rockoder/status/1629211773944442882,2023-02-24T20:08:50.000Z,"Randomly stumbled upon this and it blew my mind:
How we found about Black Holes by Isaac Asimov


http://
arvindguptatoys.com/arvindgupta/bl
ackholespix.pdf
…

As readable as sci-fi!",n
https://x.com/rockoder/status/1609907072497516545,2023-01-02T13:38:51.000Z,"""The biggest generator of long-term results is learning to do things when you don't feel like doing them.

If you let excuses or emotion drive behavior, you're cheating your future self.""

A Tiny Thought in 
@farnamstreet
 Brain food. 


https://
fs.blog/brain-food/jan
uary-1-2023/
…",y
https://x.com/Rainmaker1973/status/1594699834086363138,2022-11-21T14:30:43.000Z,"South Korean firm ETI is offering a novel roller barrier system, designed to reduce crash risks. The rollers are made from an ethyl vinyl acetate (EVA) material that is highly shock absorbent, a key design feature

[read more: 
https://
buff.ly/3TSGm7V]",
https://x.com/rockoder/status/1589901682590502912,2022-11-08T08:44:34.000Z,"Race, religion, ethnic pride and nationalism teaches you to hate people that you've never met.",y
https://x.com/rockoder/status/1583910871264559105,2022-10-22T19:59:14.000Z,Brutal,y
https://x.com/rockoder/status/1572201379959083009,2022-09-20T12:29:53.000Z,"That hurts a little but needed to be said I guess. 
https://
t.co/k1htgF3tuN",n
https://x.com/rockoder/status/1559305137310556161,2022-08-15T22:24:49.000Z,"It gets harder to read fiction as you get older. 
https://
x.com/briankoppelman
/briankoppelman/status/1077329249307160577
…",n
https://x.com/CarlNasman/status/1549299781540921347,2022-07-19T07:47:07.000Z,"“It’s just summer.”  
https://
x.com/BestForBritain
/status/1549009663378788355/video/1
…",
https://x.com/rockoder/status/1547991985117573121,2022-07-15T17:10:24.000Z,"https://
youtube.com/watch?v=PUv667
18DII
…",n
https://x.com/rockoder/status/1547981829176561674,2022-07-15T16:30:02.000Z,Bad criticism drives good criticism out of circulation.,y
https://x.com/rockoder/status/1521935876540051459,2022-05-04T19:32:43.000Z,#Grace #MarathiKavita,n
https://x.com/rockoder/status/1521956404545921024,2022-05-04T20:54:18.000Z,"In the loop for the past few days.

https://
open.spotify.com/track/4ZWmoIvG
93pY6VUom6iNrA?si=07ffd8b41b364c3d
…",n
https://x.com/rockoder/status/1519984228695425025,2022-04-29T10:17:34.000Z,Believe slowly. Forgive quickly.,y
https://x.com/rockoder/status/1519963247000104961,2022-04-29T08:54:12.000Z,Fewer meetings. More workshops. Workmeets.,y
https://x.com/rockoder/status/1518306352627695616,2022-04-24T19:10:17.000Z,He should have way more followers!,n
https://x.com/drex_dsgn/status/1516577789641895942,2022-04-20T00:41:36.000Z,"50 Timeless 
@naval
 quotes visualised :",
https://x.com/JamesWard/status/1514607913762840592,2022-04-14T14:14:01.000Z,Make val not var.,
https://x.com/rockoder/status/1513998058828312580,2022-04-12T21:50:40.000Z,Life is too short to be active on social media. #OnTheShortnessOfLife,y
https://x.com/pmarca/status/1509708905252679680,2022-04-01T01:47:06.000Z,"Misinformation (noun): Anything I don't like.

Conspiracy theorist (noun): Anyone who disagrees with me.",
https://x.com/ThomasSowell/status/1499801700923813888,2022-03-04T17:39:25.000Z,Politics is the art of making your selfish desires seem like the national interest.,
https://x.com/rockoder/status/1502718328351211523,2022-03-12T18:49:03.000Z,And we are easing the restrictions.,n
https://x.com/rockoder/status/1502341823909478404,2022-03-11T17:52:57.000Z,"If all of your beliefs line up into one political party, you are not a clear thinker. 
@naval",y
https://x.com/rockoder/status/1500780071715577859,2022-03-07T10:27:06.000Z,Not teaching evolution is the root of all evil.,y
https://x.com/rockoder/status/1500209871496650754,2022-03-05T20:41:20.000Z,Wow,n
https://x.com/rockoder/status/1070159399593959430,2018-12-05T03:34:18.000Z,Dealing with failure also needs practice.,y
https://x.com/rockoder/status/1497690065731997698,2022-02-26T21:48:32.000Z,Why I like Twitter!,n
https://x.com/rockoder/status/1497591716110610443,2022-02-26T15:17:43.000Z,Which tech product/service you wish to be dead and why @PayPal4Business ?,n
https://x.com/rockoder/status/1490795971726434308,2022-02-07T21:13:51.000Z,:(,n
https://x.com/rockoder/status/1474630688225869826,2021-12-25T06:38:48.000Z,What was your age when you first learned the extent of income inequality and global poverty?,y
https://x.com/Madisonkanna/status/1474572587086663685,2021-12-25T02:47:55.000Z,"there is nothing more relaxing than spending my break coding, reading and taking courses. on the other hand, blasting music & seeing friends would just exhaust me tbh.

do what works for you",
https://x.com/rockoder/status/1472566428859396097,2021-12-19T13:56:10.000Z,"https://
youtube.com/watch?v=dtBtov
2f7e4
…",n
https://x.com/rockoder/status/1459116232611807235,2021-11-12T11:09:53.000Z,"@tvsmotorcompany
 Hey TVS. Why owner's manual not available in Indian languages? Is it too much of a hassle? How do you expect your customers to know all the features? Looking for Jupiter manual in Marathi for my father. 
@ShivSena
 
@CMOMaharashtra
 
@RajThackeray",n
https://x.com/rockoder/status/1459116835836620804,2021-11-12T11:12:17.000Z,"So far this is the only link I found, which contains manual's only in English: 
https://
tvsmotor.com/customers/User
-Manual
…",n
https://x.com/NavalismHQ/status/1447026598897651714,2021-10-10T02:30:00.000Z,"""True reasoning is only possible when there is no motivation.""


@naval",
https://x.com/rockoder/status/1442116883805839362,2021-09-26T13:20:32.000Z,"Hey 
@WorkonaHQ
. An excellent product I have been using for the past few months. The only thing to complain about is Chrome Tab Groups are not restored fully. Restores only some tab groups, randomly. I am dreaded to close the browser window due to this. Is this a known issue?",n
https://x.com/rockoder/status/1438977617911336964,2021-09-17T21:26:13.000Z,"Chrome extension to hide the Entertainment section from the Google News:

https://
chrome.google.com/webstore/detai
l/news-section-hider/mfhifmbjjigdojdddkdlhfdkcppboefd/related
…

You're Welcome!",n
https://x.com/rockoder/status/1437540751450255365,2021-09-13T22:16:38.000Z,If only life had a staging environment.,y
https://x.com/rockoder/status/1421485032586334213,2021-07-31T14:56:56.000Z,"Hey 
@ZenkitHQ
! Can we get short cut key for collapse/expand all?",n
https://x.com/rockoder/status/1419694686256738304,2021-07-26T16:22:44.000Z,"Hey 
@WorkonaHQ
. I have 5 workspaces open in 5 different browser windows. I need to quick way to switch to a particular window. Any way to do this?",n
https://x.com/rockoder/status/1410182836028641282,2021-06-30T10:26:02.000Z,Copy-pasting was one thing we were good at! #GitHubCopilot,y
https://x.com/rockoder/status/1397213044535668738,2021-05-25T15:28:43.000Z,"My new article on Baeldung after a long time. A simple but important topic especially in the era of microservices. My first CS article on Baeldung. 
https://
baeldung.com/cs/cohesion-vs
-coupling
… 
@baeldung
 #Cohesion #Coupling #ComputerScience",y
https://x.com/Calvinn_Hobbes/status/1387395688011608065,2021-04-28T13:18:03.000Z, #CalvinandHobbes,
https://x.com/rockoder/status/1358381649134833665,2021-02-07T11:46:37.000Z,"For all the poor souls who, in all the chaos around them, struggle to take any stand, who can see flaws in all arguments, unhappy with any and all the outcomes ;)


https://
youtube.com/watch?v=kBdfcR
-8hEY&list=PL30C13C91CFFEFEA6&index=1
…

#Justice #Harvard",n
https://x.com/rockoder/status/1339580585518329857,2020-12-17T14:37:54.000Z,"I need picture-in-picture feature for online meetings. 
@firefox
 
@googlechrome
 #googlemeet",n
https://x.com/rockoder/status/1339575875457544192,2020-12-17T14:19:11.000Z,This year went mostly in finding the 'unmute' button.,y
https://x.com/shaneparrish/status/1338134916631044100,2020-12-13T14:53:20.000Z,"""You must force yourself to consider opposing arguments. Especially when they challenge your best-loved ideas."" 

— Charlie Munger",
https://x.com/rockoder/status/1329067714241912834,2020-11-18T14:23:30.000Z,You make choices. Then choices make you.,y
https://x.com/rockoder/status/1309864573806223361,2020-09-26T14:37:05.000Z,A skeuomorph is a derivative object that retains ornamental design cues (attributes) from structures that were inherent to the original. #IPL #FakeNoise #AajKaGyan,n
https://x.com/rockoder/status/1304666895111671809,2020-09-12T06:23:21.000Z,"Wake me up when you fall asleep. This awakening isn't yours to keep. #Gulzar 
@rekha_bhardwaj",n
https://x.com/Rainmaker1973/status/1299622490185117696,2020-08-29T08:18:42.000Z,"On the Equinox day, March 21 and September 23 of every year, everyone visiting the Sree Padmanabhaswamy Temple in the capital city of Kerala, will see the setting sun aligning through each of the window openings in almost five-minute intervals [read more: 
https://
buff.ly/3lqryNY]",
https://x.com/rockoder/status/1295396222312820737,2020-08-17T16:25:01.000Z,गोविन्द दामोदर माधवेति #Jasraj,n
https://x.com/rockoder/status/1291073075988111361,2020-08-05T18:06:22.000Z,"https://
youtube.com/watch?v=pinIMh
UGOYI
…",n
https://x.com/rockoder/status/1290727458795335685,2020-08-04T19:13:01.000Z,"I have a joke on German bureaucracy, but I'm waiting for an appointment to share it. #ihaveajoke #IHaveAJokeOn",y
https://x.com/rockoder/status/1290716490409418752,2020-08-04T18:29:26.000Z,"Her voice still moves me. Finally, the surest sign of me still being alive. 
@mangeshkarlata",n
https://x.com/rockoder/status/1287814947204931589,2020-07-27T18:19:44.000Z,Best time management tip ever: Delegate all your important decision to time. Time will decide ;),n
https://x.com/rockoder/status/1287000169800765440,2020-07-25T12:22:06.000Z,"I have a joke on salary, I didn't get it. I also have a joke on appraisal, everybody else got it.

#ihaveajoke #ihavejoke",n
https://x.com/rockoder/status/1286996071420436490,2020-07-25T12:05:49.000Z,"I have a joke on discount, it's 50% off!

#ihaveajoke #IHaveAJokeOn",y
https://x.com/rockoder/status/1286992784851861504,2020-07-25T11:52:45.000Z,"I have a joke on 
@Twitter
, and you just read it.",n
https://x.com/rockoder/status/1286960103640444928,2020-07-25T09:42:53.000Z,"I wrote a joke about source code, but now even I don't get it. #ihaveajoke #IHaveAJokeOn #programming",y
https://x.com/rockoder/status/1286369813623910402,2020-07-23T18:37:17.000Z,"Hey 
@ZenkitHQ
.. I don't see Filter feature. Any idea why? I use the free version app on Mac as well as on my Firefox. 
https://
youtube.com/watch?v=P_pOIE
MnrrI
…",n
https://x.com/rockoder/status/1283516426461028352,2020-07-15T21:38:57.000Z,My Twitter account is not hacked. That doesn't mean you can't send me BTC. #Bitcoin #Scamdemic,n
https://x.com/naval/status/806034795658522624,2016-12-06T07:17:25.000Z,Life is a single player game.,
https://x.com/rockoder/status/1275282678644985856,2020-06-23T04:20:58.000Z,"A good science fiction writer can predict the car, but a great one can predict the traffic jam.",y
https://x.com/rockoder/status/1274663540767559681,2020-06-21T11:20:44.000Z,"By the time a man realizes that his father was right, he has a son who thinks he’s wrong. #FathersDay",y
https://x.com/rockoder/status/1267431216598388737,2020-06-01T12:22:04.000Z,I will look at any additional evidence to confirm the opinion to which I have already come.,y
https://x.com/rockoder/status/1265930763456917504,2020-05-28T08:59:48.000Z,"AarogyaSetu app GitHub repo:

https://
github.com/nic-delhi/Aaro
gyaSetu_Android
…",n
https://x.com/rockoder/status/1261061268640878593,2020-05-14T22:30:10.000Z,Here are 3 counter-intuitive things which I recently came across and are precisely articulated:,n
https://x.com/rockoder/status/1261061271568465926,2020-05-14T22:30:11.000Z,"2. 'If you can’t say something nice...' is not a healthy policy. It is not just a job but a moral obligation for leaders to speak up when their employees screw up. 
@kimballscott
 #RadicalCandor",n
https://x.com/rockoder/status/1261061273460051968,2020-05-14T22:30:11.000Z,"3. 'Is there anything I can do for you' is not very helpful. It shifts the burden to the person who's suffering to tell you what they need, which they might not be able or even be aware to tell. 
@sherylsandberg
 
@AdamMGrant
 #OptionB


https://
linkedin.com/learning/shery
l-sandberg-and-adam-grant-on-option-b-building-resilience/
…",n
https://x.com/rockoder/status/1260696275105845248,2020-05-13T22:19:49.000Z,Never underestimate the power of a solo developer who also takes support calls.,y
https://x.com/rockoder/status/1260695081125896192,2020-05-13T22:15:04.000Z,"2+ years since I stopped reading the news. Aaron covered some valid points that have bothered me. Especially around informed voter: 
http://
aaronsw.com/weblog/hatethe
news
…",n
https://x.com/myfear/status/1259468235453448192,2020-05-10T13:00:01.000Z,"A Guide to jpackage in #Java 14 
https://
bit.ly/2YuDTYf via 
@baeldung",
https://x.com/rockoder/status/1259465096708808704,2020-05-10T12:47:33.000Z,"Passformula: Create Complex, Unique Passwords and Remember Them All


http://
rockoder.com/2020/04/26/pas
sformula
…",y
https://x.com/baeldung/status/1256871116393656322,2020-05-03T09:00:00.000Z,New Post: A Guide to jpackage in Java 14,
https://x.com/rockoder/status/1255240427717918722,2020-04-28T21:00:13.000Z,Profound Realization: Brushing teeth is the only unnatural activity humans do consistently. Rest all is a struggle. ,y
https://x.com/orangebook/status/1253785874824921088,2020-04-24T20:40:21.000Z,Who you want to help reflects your scars.,
https://x.com/rockoder/status/1253689439718715392,2020-04-24T14:17:09.000Z,"My new article on new jpackage tool added in Java 14

https://
baeldung.com/java14-jpackage

#Java #Java14",y
https://x.com/rockoder/status/1249797897912225799,2020-04-13T20:33:33.000Z,"Pascal, C++",n
https://x.com/Cshearer41/status/1247073195829669893,2020-04-06T08:06:34.000Z,What’s the area of the circle?,
https://x.com/rockoder/status/1248715092314787840,2020-04-10T20:50:52.000Z,"Which existing products/services can use audio/video communication as a secondary feature? 
@naval
 
@balajis",n
https://x.com/patrickc/status/1247628120389107712,2020-04-07T20:51:38.000Z,"Fast Grants for COVID-19: 
http://
fastgrants.org.",
https://x.com/rockoder/status/1246419868091637761,2020-04-04T12:50:28.000Z,"This even exists!

https://
youtube.com/watch?v=jUpA7Q
ma_9E
…",n
https://x.com/random_walker/status/1245836112117075968,2020-04-02T22:10:50.000Z,A few famous people get invited to speak everywhere because organizers are risk averse. Going virtual is a chance to do better. Give a junior person a chance! You'll likely be pleasantly surprised. If a viewer doesn't like a talk they can just switch tabs until the next speaker.,
https://x.com/rockoder/status/1245691892307722241,2020-04-02T12:37:45.000Z,"""Fake until proven real"" is the only sane policy for WhatsApp messages. The 'initiated' ones should at least know better than the layperson :)

#FakeNews #FakeWhatsAppMessages",n
https://x.com/rockoder/status/1243986645877239808,2020-03-28T19:41:43.000Z,"Was able to comprehend more than I expected.


https://
scientificamerican.com/article/how-co
ronaviruses-cause-infection-from-colds-to-deadly-pneumonia1/
…",n
https://x.com/naval/status/855865123973382144,2017-04-22T19:25:21.000Z,"I mute the nitpickers, block the outraged, like the kind, follow the insightful.",
https://x.com/rockoder/status/1242147812676194306,2020-03-23T17:54:51.000Z,"Any superior caste, race, religion, nation spared by the virus? No? Thought so.

#COVIDー19 #COVID19 #coronavirus",y
https://x.com/rockoder/status/1239702883655995393,2020-03-16T23:59:34.000Z,"https://
who.int/news-room/q-a-
detail/q-a-coronaviruses
…",n
https://x.com/rockoder/status/1238250015279235076,2020-03-12T23:46:23.000Z,I practically changed my timezone and I still can't sleep at night. ;),y
https://x.com/rockoder/status/1235680981144793106,2020-03-05T21:37:58.000Z,A question that sometimes drives me hazy: am I or are the others crazy?,y
https://x.com/rockoder/status/1233787569369997312,2020-02-29T16:14:13.000Z,"How long do you spend making sure you have all the facts right before you criticize somebody? 

How long do you spend making sure you have all the facts right before you praise somebody?",y
https://x.com/rockoder/status/1231707448676900865,2020-02-23T22:28:34.000Z,Doctors Practice. Developers Hope. ,y
https://x.com/rockoder/status/1182008396452466688,2019-10-09T19:02:17.000Z,It's a movie you won't be prepared for. #JokerMovie #JokerFilm #Joker,n
https://x.com/rockoder/status/1181128280608403457,2019-10-07T08:45:01.000Z,Best Villains Are Almost Heroes #Joker #Moriarty #Thanos #AllTimeBest,y
https://x.com/benorlin/status/1173587481159241728,2019-09-16T13:20:34.000Z,,
https://x.com/tottinge/status/1174341826020552704,2019-09-18T15:18:04.000Z,"""It was important to me that we accumulate the learnings about the application over time by modifying the program to look as if we had known what we were doing all along."" 
-- Ward Cunningham",
https://x.com/isro/status/1157901184520167424,2019-08-04T06:28:49.000Z,"#ISRO
First set of beautiful images of the Earth captured by #Chandrayaan2 #VikramLander
Earth as viewed by #Chandrayaan2 LI4 Camera on August 3, 2019 17:28 UT",
https://x.com/rockoder/status/1155358994740813824,2019-07-28T06:07:04.000Z,"What changed between 
@springboot
 2.1.2 and 2.1.6 that 
@thymeleaf
 stopped working? Spent all night making the project work but did not succeed. This guide did not help either:
https://
spring.io/guides/gs/serv
ing-web-content/
…

@starbuxman
 
I must be missing something. Any help?",n
https://x.com/isro/status/1153292272961642496,2019-07-22T13:14:39.000Z,"#ISRO
Here's a view of the majestic lift-off of #GSLVMkIII-M1 carrying #Chandrayaan2",
https://x.com/CharlesTBetz/status/1147315267674025984,2019-07-06T01:24:10.000Z,In 3d...,
https://x.com/KentBeck/status/1144570824692776960,2019-06-28T11:38:44.000Z,"My code can’t be tidier than my thinking. The purpose of my tidying is to clarify my thinking by manipulating the code. The code ends up better, but because I understand more not because I somehow forced it to be better in spite of my confusion.",
https://x.com/rockoder/status/1145896463618101248,2019-07-02T03:26:21.000Z,"If all of your beliefs line up into one political party, you are not a clear thinker. --
@naval",y
https://x.com/rockoder/status/1144264503078588416,2019-06-27T15:21:31.000Z,"#LifeExpectancy:
60 is the new 40

#JobMarket:
40 is the new 60",y
https://x.com/rockoder/status/1141765860597485568,2019-06-20T17:52:48.000Z,"biggest lie in #movies/#tvshows: someone rushes in saying ""did you hear the news"", switches on the TV, TV automagically plays the exact news channel and the news channel shows the exact news. right*at*that*moment",n
https://x.com/rockoder/status/1137063828535906304,2019-06-07T18:28:37.000Z,HBO does it again: Chernobyl.,n
https://x.com/rockoder/status/1135858775233945600,2019-06-04T10:40:09.000Z,Die iTunes die. I offer the thousands of hours I wasted on you. #iTunes #Apple,n
https://x.com/baeldung/status/1129718277494779905,2019-05-18T12:00:01.000Z,New Post: String API Updates in Java 12,
https://x.com/rockoder/status/1129450724029427712,2019-05-17T18:16:51.000Z,"My Java 12 article in which I talk about the new additions to the String API:

https://
baeldung.com/java12-string-
api
… 
#Java #Java12 #JDK",y
https://x.com/rockoder/status/1126130595011018752,2019-05-08T14:23:51.000Z,Nightmare of the Developer: Manager pair programming with Product Owner. ,y
https://x.com/rockoder/status/1119845271775526913,2019-04-21T06:08:13.000Z,Its only hubris if I fail.,y
https://x.com/Archivd/status/1119399590585782272,2019-04-20T00:37:14.000Z,"“If I asked people what they wanted, they would have said faster internet.”",
https://x.com/rockoder/status/1118528985967681536,2019-04-17T14:57:46.000Z,"Users don't know what they want.

Users know what they don't want after you have built it for them.",y
https://x.com/CNET/status/1116506217239568384,2019-04-12T01:00:00.000Z,Watch SpaceX's #FalconHeavy rocket lands its center core on a ship for the first time ,
https://x.com/rockoder/status/1116250930205184000,2019-04-11T08:05:35.000Z,"https://
youtu.be/2DxjuE7WDlk",n
https://x.com/rockoder/status/1116243048676118529,2019-04-11T07:34:16.000Z,"""Hello, Black hole"" program 
https://
x.com/Grady_Booch/st
/Grady_Booch/status/1116092384293445633
…",n
https://x.com/rockoder/status/1114426359609155584,2019-04-06T07:15:23.000Z,Shareholders profit is root cause of all evil.,y
https://x.com/KunalBSarkar/status/1109842392696250368,2019-03-24T15:40:20.000Z,"How to trick Luck:

Suppose you want a 6 on the dice. If you roll the dice enough times, eventually you will get a 6.

This also works in real life

If you keep investing in opportunities with limited downside and huge upside, you will eventually succeed.",
https://x.com/KunalBSarkar/status/1109702599945576448,2019-03-24T06:24:51.000Z,"You don't need more Discipline in life, you need more Clarity in life.

Discipline is a side-effect, it should not be your first-order goal.",
https://x.com/rockoder/status/1105111237325717504,2019-03-11T14:20:25.000Z,"My latest article:

https://
baeldung.com/gson-list
#GSon #Java #Serialization",y
https://x.com/rockoder/status/1101853567315374080,2019-03-02T14:35:36.000Z,#HelloWorld #SoftwareEngineering #Programming #Java,n
https://x.com/rockoder/status/1087210088337686530,2019-01-21T04:47:39.000Z,"Reading Daniel Kahneman's Thinking Fast and Slow after reading 
@nntaleb
's The Black Swan is to add insult to injury. Page after page.",n
https://x.com/rockoder/status/1084673905783201794,2019-01-14T04:49:46.000Z,When you specify a possible event in greater detail you can only lower its probability. #ThinkingFastAndSlow,y
https://x.com/rockoder/status/1082495543463563264,2019-01-08T04:33:44.000Z,"Written in 2011 book Thinking, Fast and Slow!!",n
https://x.com/rockoder/status/1080352931277344768,2019-01-02T06:39:45.000Z,"My first article of 2019. This one took a lot more time than I had estimated and ended up getting published on 1st Jan :)


https://
baeldung.com/java-nest-base
d-access-control
…

#Java, #Java11",y
https://x.com/rockoder/status/1080359376463020032,2019-01-02T07:05:22.000Z,"Here comes the second article from the Java 11 series: 
https://
baeldung.com/java-var-lambd
a-params
…

Two more to go.",y
https://x.com/rockoder/status/1080359379403190272,2019-01-02T07:05:22.000Z,"My first article from the Java 11 series: 
https://
baeldung.com/java-single-fi
le-source-code
…",y
https://x.com/rockoder/status/1075435432383528960,2018-12-19T16:59:22.000Z,"Third article in the Java 11 series:

https://
baeldung.com/java-11-string
-api
…",y
https://x.com/rockoder/status/1075239034845388800,2018-12-19T03:58:57.000Z,"Let the hindsight of your future self be the foresight of your present self. --
@farnamstreet",y
https://x.com/podcastnotes/status/1074684221233475585,2018-12-17T15:14:19.000Z,"The TOP 10 PODCASTS OF 2018!!

~Thread~",
https://x.com/baeldung/status/1073880429441236992,2018-12-15T10:00:20.000Z,"New Post: Java 11 Single File Source Code 
https://
buff.ly/2QtSQY1",
https://x.com/baeldung/status/1074242786499682304,2018-12-16T10:00:13.000Z,"New Post: Java 11 Local Variable Syntax for Lambda Parameters 
https://
buff.ly/2S56xJt",
https://x.com/Diakogiannis/status/1074259328608165888,2018-12-16T11:05:57.000Z,"Java 11 Single File Source Code | Baeldung 
https://
baeldung.com/java-single-fi
le-source-code
… by 
@rockoder",y
https://x.com/rockoder/status/1074180077460615168,2018-12-16T05:51:02.000Z,"Here comes the second article from the Java 11 series: 
https://
baeldung.com/java-var-lambd
a-params
…

Two more to go.",y
https://x.com/rockoder/status/1073795373620056064,2018-12-15T04:22:21.000Z,"My first article from the Java 11 series: 
https://
baeldung.com/java-single-fi
le-source-code
…",y
https://x.com/rockoder/status/1073231866831036418,2018-12-13T15:03:11.000Z,I am a Full Stackoverflow Developer. #Programming #Java #fullstack,y
https://x.com/mmay3r/status/1071248032815968256,2018-12-08T03:40:08.000Z,"Many books should be read twice, and most shouldn’t be read at all.",
https://x.com/rockoder/status/1071034293496016898,2018-12-07T13:30:49.000Z,"Choose Firefox Now, Or Later You Won't Get A Choice!",n
https://x.com/rockoder/status/1062941336930725888,2018-11-15T05:32:17.000Z,"OH: I’ve started telling non-techie people that you don’t interview for software engineering jobs: you audition for them.

They get it.",y
https://x.com/nipafx/status/1059763250345271298,2018-11-06T11:03:42.000Z,"Since #Java11 you can write single-source-file programs and throw them at the JVM without having to compile them first:


https://
blog.codefx.org/java/scripting
-java-shebang/
…

And the crazy thing, you can add a shebang line and write scripts this way! ",
https://x.com/rockoder/status/1051368275026866176,2018-10-14T07:05:04.000Z,"If a architect build a house for some one, and does not construct it properly, and the house which he built fall in and
kill its owner, then that architect shall be put to death. #TheCodeOfHammurabi",y
https://x.com/rockoder/status/1051368868466360321,2018-10-14T07:07:26.000Z,"Any software architects here? Or who calls him/herself one? Or acts like one?

YOU have to take oncall. And that's just the start.

#SkinInTheGame",n
https://x.com/michaeldsimmons/status/1041694379256233984,2018-09-17T14:24:28.000Z,"The ultimate long-term competitive advantages for knowledge workers are skills like:

- Learning
- Thinking
- Decision-Making
- Prioritizing
- Experimenting

Each of these gives you more leverage—the ability to do more with less.",
https://x.com/rockoder/status/1036173812948058112,2018-09-02T08:47:42.000Z,"Number of 
@firefox
 tabs on my mobile.",n
https://x.com/rockoder/status/1026529260931088386,2018-08-06T18:03:42.000Z,"It’s a common belief that your first reaction is the most honest, but I disagree. Your first reaction is usually outdated.",y
https://x.com/rockoder/status/1026529263724331008,2018-08-06T18:03:43.000Z,"Either it’s an answer you came up with long ago and now use instead of thinking, or it’s triggering a knee-jerk emotional response to something that happened long ago.


https://
sivers.org/slow",y
https://x.com/rockoder/status/1025809793749925888,2018-08-04T18:24:48.000Z,"http://
baeldung.com/spring-boot-va
adin
… #SpringBoot #Vaadin 
@baeldung",y
https://x.com/rockoder/status/1023460914794782720,2018-07-29T06:51:11.000Z,"It is not that we have a short time to live, but that we waste a lot of it. Life is long enough, and a sufficiently generous amount has been given to us for the highest achievements if it were all well invested. #OnTheShortnessOfLife #Seneca #ShortRead",y
https://x.com/rockoder/status/1023461582653857793,2018-07-29T06:53:50.000Z,People are frugal in guarding their personal property; but as soon as it comes to squandering time they are most wasteful of the one thing in which it is right to be stingy. #OnTheShortnessOfLife #Seneca #ShortRead,y
https://x.com/rockoder/status/1023462471875657728,2018-07-29T06:57:22.000Z,"Nobody works out the value of time: men use it lavishly as if it cost nothing… We have to be more careful in preserving what will cease at an unknown point.
 #OnTheShortnessOfLife #Seneca #ShortRead",y
https://x.com/java/status/1023208202190577666,2018-07-28T14:07:00.000Z,"12 ways to get smarter – in one chart


https://
weforum.org/agenda/2018/02
/how-to-be-smarter-infographic
…",
https://x.com/realDonaldKnuth/status/729806800518787073,2016-05-09T22:54:35.000Z,"If you optimize everything, you will always be unhappy #Knuth",
https://x.com/prar_s/status/1020168563057995776,2018-07-20T04:48:33.000Z,"Best thing I have read in a while about perseverance. 

Thank you, 
@farnamstreet
! Your perspective is invaluable.


https://
fs.blog/principles/",
https://x.com/rockoder/status/1019438863448788992,2018-07-18T04:28:59.000Z,Most history is guessing. And the rest is prejudice. #TheLessonsOfHistory #CurrentlyReading,y
https://x.com/naval/status/1017619107196297216,2018-07-13T03:57:56.000Z,"Decisions:

• If you can’t decide, the answer is no.

• If two equally difficult paths, choose the one more painful in the short term (pain avoidance is creating an illusion of equality).

• Choose the path that leaves you more equanimous in the long term.",
https://x.com/rockoder/status/1017359328364417024,2018-07-12T10:45:40.000Z,#TescoHackathon Team selfie.. you see my other team members? .... me neither ,n
